#1
#Denver
# 39.883         -104.65          1650            1
#
# hy	G_Bh	G_Dh	Ta	FF	DD	RH	N	p
double tab1(8760,9)
1	0	0	-18.00	0	0	85	2	837
2	0	0	-16.60	0	0	83	3	835
3	0	0	-15.30	0	0	85	3	834
4	0	0	-14.40	0	0	90	4	831
5	0	0	-13.00	0	0	86	5	834
6	0	0	-11.10	0	0	88	6	830
7	0	0	-9.70	0	0	84	6	829
8	1	8	-7.70	1.4	120	82	7	828
9	12	77	-5.90	1.3	140	80	7	829
10	151	115	-2.20	1.7	200	66	8	827
11	218	139	1.40	1.7	310	50	8	824
12	243	187	2.80	4.6	20	42	7	823
13	173	189	4.40	7.2	20	34	8	823
14	212	130	3.30	8.2	10	37	7	822
15	98	154	3.90	7.7	10	35	8	822
16	69	62	2.20	6.2	10	36	4	821
17	7	11	-0.60	3.6	20	54	1	820
18	0	0	-2.20	6.2	10	62	0	821
19	0	0	-5.00	5.7	350	68	0	821
20	0	0	-5.60	5.2	360	65	0	821
21	0	0	-6.10	2.1	350	64	0	820
22	0	0	-6.10	2.6	20	64	0	821
23	0	0	-6.10	4.1	10	55	0	823
24	0	0	-5.00	8.8	10	50	0	819
25	0	0	-5.00	8.8	20	48	0	819
26	0	0	-5.60	7.2	20	46	0	820
27	0	0	-5.00	7.2	20	41	0	819
28	0	0	-6.70	6.7	20	48	0	819
29	0	0	-5.60	3.6	360	43	0	824
30	0	0	-6.10	3.1	10	45	1	819
31	0	0	-4.40	3.1	50	37	2	819
32	3	12	-2.80	1.5	40	34	9	820
33	21	64	-1.70	2.1	110	36	7	823
34	114	122	2.20	2.1	140	30	8	824
35	298	94	5.60	2.6	130	25	5	824
36	157	193	8.90	2.1	160	15	8	824
37	212	113	9.40	2.6	180	16	9	824
38	59	226	9.40	2.6	140	19	9	823
39	116	144	10.00	3.1	150	25	9	823
40	47	62	7.80	3.1	140	25	8	823
41	6	15	6.70	2.6	150	26	6	821
42	0	0	5.00	3.6	170	30	6	821
43	0	0	1.10	3.6	150	39	2	823
44	0	0	0.00	3.6	180	43	3	822
45	0	0	-1.70	4.1	190	46	0	822
46	0	0	-1.10	2.1	150	38	1	821
47	0	0	0.60	0	0	30	1	824
48	0	0	0.00	2.6	230	32	1	821
49	0	0	-0.60	3.6	210	33	0	821
50	0	0	-0.60	5.2	210	33	0	821
51	0	0	-1.10	5.2	220	35	0	822
52	0	0	-1.70	5.7	220	36	2	824
53	0	0	-1.70	6.2	230	36	3	828
54	0	0	-1.10	7.2	210	33	5	826
55	0	0	-1.10	5.7	240	35	8	827
56	2	12	-0.60	6.7	250	35	7	828
57	26	53	3.30	4.6	210	25	8	830
58	79	113	5.60	5.2	210	23	7	832
59	235	90	6.10	1.5	290	32	6	835
60	352	98	6.70	7.7	250	22	2	833
61	343	83	5.60	9.3	280	29	4	834
62	276	86	4.60	11.1	300	27	5	834
63	147	107	2.30	7.4	280	32	6	834
64	34	84	-0.30	6.7	260	38	10	835
65	1	21	-3.00	4.6	230	42	10	836
66	0	0	-5.80	2.8	240	58	10	835
67	0	0	-5.60	1.6	230	48	10	835
68	0	0	-7.20	0.4	200	64	10	835
69	0	0	-8.80	0.8	220	65	10	832
70	0	0	-9.90	1.6	210	67	10	833
71	0	0	-11.40	1.5	170	71	10	836
72	0	0	-12.40	1.8	200	81	10	832
73	0	0	-13.50	0.2	270	88	10	832
74	0	0	-16.20	0	0	90	10	832
75	0	0	-16.20	1.5	170	86	10	832
76	0	0	-14.70	2.6	130	82	4	832
77	0	0	-14.20	1.5	150	80	4	836
78	0	0	-13.30	1.5	130	76	0	834
79	0	0	-11.80	0	0	65	0	834
80	7	7	-9.10	0	0	64	1	833
81	27	32	-5.90	0	0	56	7	837
82	46	81	-0.50	1.5	180	42	10	837
83	0	152	3.30	2.1	210	36	10	835
84	0	174	3.80	0	0	38	10	836
85	0	140	8.00	3.6	350	32	10	836
86	0	125	9.60	4.1	10	31	10	835
87	17	88	11.10	3.6	360	29	9	835
88	11	33	10.00	7.2	300	31	10	833
89	3	17	7.20	0	0	42	9	830
90	0	0	7.20	3.1	80	40	8	830
91	0	0	6.10	3.6	180	37	7	830
92	0	0	7.20	2.6	210	28	4	829
93	0	0	6.10	4.1	180	29	5	829
94	0	0	5.60	3.1	160	29	3	827
95	0	0	5.00	3.1	250	31	2	826
96	0	0	10.00	6.7	210	21	0	826
97	0	0	5.00	4.6	210	31	0	824
98	0	0	10.60	6.2	220	25	0	824
99	0	0	11.10	6.7	230	25	0	824
100	0	0	9.40	5.2	230	28	0	826
101	0	0	9.40	3.6	260	28	0	828
102	0	0	9.40	4.6	210	29	0	827
103	0	0	5.00	4.6	300	42	0	828
104	9	7	10.00	1.5	360	33	0	828
105	111	31	8.90	4.1	50	35	0	829
106	249	43	12.80	4.6	360	26	0	830
107	317	64	12.80	5.7	40	23	3	829
108	405	60	15.00	5.1	30	20	2	830
109	381	69	14.40	4.1	30	20	3	830
110	326	68	12.80	3.1	50	23	2	831
111	171	68	10.00	2.6	70	36	3	831
